author,commentNum,content,date,id,rating,skill_title,timestamp,title,vote
Amanda,0,This is by far my favorite Alex Game. I just wish there were more than 6 questions per day. I'd love to be able to play for a longer period of time.,2017-01-06,8a38fbb4-8d8f-4748-9334-3dfe9ba3155f,4.0,Jeopardy!,1503629342.9788249,Great Game,6
Anne,0,"I really liked this skill before they put the Alex voice in, now it's annoying.",2017-04-13,bf847502-75a3-4597-a25d-3cf85acf4b81,3.0,Jeopardy!,1503629342.999074,Get rid of Alex,8
Amazon Customer,0,"We play everynight. Sometimes Alexa misconstrues our answers which messes up our percentage but, it's a game and it's fun.",2017-07-12,2f4e8578-ab23-40a2-bacc-5db3137b658f,5.0,Jeopardy!,1503629343.0199294,it's a game and it's fun.,4
Amanda,0,"I love this game. I look forward to it every night, but it could use some improvements for a truly flawless experience. First off, the sound is WAY too sensitive. If someone across the house even whispers, it records their voice and you get marked wrong. Same issue with the TV even. (But when someone says ""Alexa"" on a commercial she can't pick that up?) Second, It will not recognize ""repeat"" and marks a wrong answer. Last, it will just shut off after an answer is given. If these things were fixed, it'd be much less frustrating.",2017-06-01,82acbe67-05e3-4b49-929c-a7e399fc31d6,3.0,Jeopardy!,1503629343.038906,Needs improvement,3
littleredheadedgirl,0,"There seems to be a glitch. When I go back and look at the transcription, it lists the answers to previous questions. Which I'm guessing is why it's telling me I'm wrong when I'm right. There's nothing quite so infuriating as getting the answers right and being told that they are incorrect. Also it often just hears incorrectly. Like, REALLY incorrectly. Like I said Oprah and it thought I said Red.... One answer I gave was David, when I checked it said I had answered Lincoln.... I had answered Lincoln for a different question the last time I played four days ago? If this wasn't so glitchy I would give it five stars. I hope it can be fixed!",2017-02-16,8109f061-7545-43a0-91a2-c364df993ba9,2.0,Jeopardy!,1503629343.059231,Would be great if it worked.,6
Steve Landau,0,Was much better when it used only Alexa's voice. The addition of the show's (jarringly loud) announcer and pointless interruptions from Alex Trebec erode the enjoyability of the skill. One nice new feature: It compiles your answers for the week and lets you know how you did.,2017-04-10,b51e4ddc-51d5-4493-8b94-f2834a46c633,3.0,Jeopardy!,1503629343.0906801,Was better without sounds from the show,7
Amazon Customer,0,Super fun. The only bad things are that you can't play on weekends and you can only play once a day.,2017-01-03,ea6b0ced-c3d9-4721-8800-2515fa0138b5,4.0,Jeopardy!,1503629343.114506,⭐️⭐️⭐️⭐️,6
S. Johnson,1,"So anybody who has an Alexa knows that she doesn't always hear well. Jeopardy comes with a ""did she hear you correctly?"" type feedback section that shows the question and what she heard. Except here's the problem: the answers aren't on the right freaking question!!! And inevitably there is one missing. How can you give proper feedback if the whole thing is a convoluted mess? Also, if you say ANYTHING other than ""repeat"" on the questions that you need to hear twice because a robot's inflection/pronunciation isn't always correct, it'll automatically count it wrong. So no ""um"", ""uh"", or ""huh?"" muttered to yourself before you say repeat. Even when you look in the app later and it actually does hear ""uh...repeat"" it doesn't recognize that as a command but as an answer.",2017-03-21,2d7c4584-fd98-4f2c-8238-8bfc3c6c2c9e,3.0,Jeopardy!,1503629343.16609,"HORRIBLE ""feedback"" in Ap",2
Tucker,0,This is my favorite skill. It's nice that it uses the show's real intro and sounds. It's always fun and gives a variety of difficulty ranges.Improvements would be to adjust the intro sounds and Alexa's volume to match better.And to allow for pulling from an archive if you've already played once that day and want to play again.,2017-07-07,9c751876-ebf0-407f-bed2-e6c3c3dedce0,4.0,Jeopardy!,1503629343.1927722,Favorite skill available! And getting better.,3
MehingMeher,0,The update with alex trebek is unbearable. Please make it less jarring when he jumps in!,2017-04-10,ca3d61a6-1464-4f46-be21-84021bd80af6,1.0,Jeopardy!,1503629349.091307,New alex trebek update is awful.,8
Jacob Huelstrunk,0,"This game is a lot of fun. I play every morning while I'm getting dressed, something to look forward to when waking up :). Just a few comments: Like  other reviewers reported, Alexa will sometimes say you are wrong when you've clearly given the right answer. This is extremely frustrating, I wonder if the Amazon techs are using this skill to aid improvements in voice recognition? Second, how are weekly stats compiled? Does it favor  the everyday player? I invariably score in the top 1% on a weekly basis, My daily scores more in the 5-20% range. Also, if there's a communication problem in the middle of the game and it restarts you can correct any wrong answers, I never do this but the opportunity is there,All in all a fun game. Someday enhanced voice recognition will make this a killer party app.",2017-08-23,ec1d97ad-a36f-40a0-bfe7-043b1ca83f91,4.0,Jeopardy!,1503629349.1081948,Lots of fun,0
Scott,0,"It is hard to understand what is being said sometimes but it is still entertaining.A helpful hint so it doesn't close on you while you are thinking; say ""can you repeat the question"" (can be done several times, is also great for when you don't understand what Alexa said) I often use this trick so my wife and I can discuss our answer (if we disagree on it) without Alexa quitting or thinking we answered... just be sure to only talk while she's talking.",2016-12-26,6ae09a0d-ac2a-4698-8aa2-c621dbcd4529,4.0,Jeopardy!,1503629349.129497,Entertaining,5
Hbont74,0,Great game but I wish there were more like making it j12 so it would include jeopardy and double jeopardy but still great game,2016-12-31,ad328328-bacd-4edb-982f-b85bdde6abe4,5.0,Jeopardy!,1503629349.150312,Love it,5
Michael,0,Wish you could play prior days,2017-02-16,f8dc3e97-b57d-4cce-8c0d-c29c8cf4716e,5.0,Jeopardy!,1503629349.1802306,Love it,6
Pam T,0,Look forward to playing every day,2017-01-07,037bbc1f-e882-4edd-a1f5-ab2e4c99d697,4.0,Jeopardy!,1503629349.2028842,Fun,4
Amazon Customer,0,"My husband and I love playing! The best part is you can actually answer like you would on Jeopardy, not like these other quiz skills where you have to wait for them to list multiple choice answers. The topics are great as well, and it's fun to hear how.we compared to other players daily and weekly! I only wish we had clues on the weekends too.",2017-07-04,aa6398d1-a18e-4594-91f9-2ae5a78ff899,5.0,Jeopardy!,1503629349.224851,We play every night,3
Sunnee Day,1,"This skill is great when it works but lately it never works correctly. Like everybody else it wouldn't go past the second question today and shut down. This has happened several times recently. Over the last couple of weeks Alexa has told me my answers were wrong and then given me the exact same answer, or it hears words when I'm not talking, and the most frustrating day was when Alexa was mixing up the questions and answers randomly so that none of them went together and all of my correct answers were &quot;wrong.&quot;  The Amazon support team tried to help but after following their directions it still doesn't work properly.",2016-11-30,6360be0b-32c8-4c08-9364-1d909ba4fc83,3.0,Jeopardy!,1503629349.258081,Alexa hates her job and wants us to leave her alone,10
Jeff Rosen,0,"I enjoy this game. I've experienced most of the bugs reported. Also have had it ask same question twice. Also had it mix in some of prior days questions (most commonly when playing early in morning). Still fun, just don't take it too seriously. Not life or death if Alexa screws it up sometimes.",2016-11-27,fd73ca52-199a-4a7b-8c04-b9e72e5d6381,4.0,Jeopardy!,1503629349.276852,Fun but not perfect.,4
BlambowThrow,0,I just wish there was an extended version.,2017-07-11,59e2716c-5173-451e-9adb-3a8e47961ce6,5.0,Jeopardy!,1503629349.2951028,Love this!,3
Miles Brown Jr,2,"Does not work properly. Alexa gets confused and thinks the correct response is the answer to the prior question. For instance the country where Jutland borders Germany iis &quot;Animal House&quot; and the dialect of Chinese spoken by most Chinese people is &quot;Denmark&quot;. Kind of funny but not much fun to be told I'm wrong when the software is actually defective. If they fix it, this would be a fun game.  As is, it is only good for a quick laugh at the ridiculousness of it all. And they think computers driving cars is a good idea...",2016-11-21,9ec29f48-b421-4bf0-8d99-450f2fda3874,1.0,Jeopardy!,1503629355.329142,Not ready for release. Funny but not fun.,13
Chris LeCraw,0,The intermixing of Alex and Alexa along with the song is annoying,2017-04-11,d8f1be05-0dd9-4299-a493-4b9feaea2bb4,2.0,Jeopardy!,1503629355.352288,Alex Trebec voice too much,8
DJK,4,Skill shuts down after second question is asked with response &quot;I am having a hard time accessing Jeopardy J6 skill&quot; I have reset the Echo as well as disabling and enabling the skill but get same results. Amazon has been contacted as well. This error happens on both the Tap and the Echo.,2016-11-30,a6a1fb3d-bfb7-4220-b812-d5aa3b05731b,1.0,Jeopardy!,1503629355.42629,Jeopardy will not go past second question.,5
James,0,This was way better before they put the voice and show sounds on.Alexa is much better at all of it,2017-04-14,756cc692-ee93-434f-b8a9-2df1b386316d,2.0,Jeopardy!,1503629355.4433,Remove Alex,6
JP,0,"Either it doesn't even recognize that you want to, ""Alexa, play Jeopardy"" or it stops working completely after giving an answer and waiting for a clue.",2017-07-30,896aee1a-40e7-403d-b7ad-9849e2719c82,1.0,Jeopardy!,1503629355.462091,Incredibly broken,2
Jessica Cooper,0,"Great game but it only updates M-F, so on the weekends it repeats Friday's clues (because they only have clues on days they air shows).It would be better if you could access older days' clues in case you miss a day, like ""Alexa, play Jeopary from yesterday/Tuesday/May 25th.""",2017-07-23,7353a249-caf4-4eca-95c1-0c9bbff9067b,5.0,Jeopardy!,1503629355.478996,Very fun,3
Brandon S.,0,"Love the Jeopardy, new questions 5 times a week! It was definitely fun the first few goes. Lately it has been a bit glitchy, it'll randomly stop after only going through a couple questions. I don't think I've managed to make it through a single day this week without restarting at least twice.",2017-01-28,ef88b6e9-22ed-41ce-a6f0-9e735a31f457,2.0,Jeopardy!,1503629355.4967039,Absolutely great... when it works,3
Amazon Customer,0,My fiancée and I play this as often as we can. I wish it allowed you to play days you've missed since there are no new questions on weekends. The game does occasionally misunderstand answers or unintentionally pick up on whispered speech.,2017-06-03,f2681fe0-1ab3-4b30-b8dd-c2fd21bed505,3.0,Jeopardy!,1503629355.515929,My fiancée and I play this as often as we ...,6
Cynthia S.,0,Instead of watching the game and other people playing the game in stead you can play it yourself,2017-05-06,f71188e7-12b0-4c90-8a82-0b919a565978,5.0,Jeopardy!,1503629355.5368571,So much fun,4
Faery Nonna,0,"Love the skill WHEN it works!  Alexa is always s saying she can't access the skill right now.  So I disable it, wait and then enable it.  Sometimes it works, sometimes not.  AND when it does work, if I answer What is GHOST?  Alexa will say, ""No, sorry, the correct answer is What is GHOST??  What??? Very frustrating!",2016-08-16,0e55e19a-859d-474e-82c7-638b285a0019,3.0,Jeopardy!,1503629355.558957,What is Frustrating?,3
Ya Ya Queen,0,"Love the game. Initially the new addition of Alex's voice was fun but he interrupts and talks too much, often delaying being able to answer.",2017-04-06,f25f48fa-8d69-48a8-858e-2dac18090388,4.0,Jeopardy!,1503629361.4976692,Sorry Alex.,5
J. Hud,0,"I played frequently and it never had a problem, however the last 3 months i can seldom finish a game without it cutting off",2017-07-29,28499ffe-4381-4728-8017-27b128723e68,1.0,Jeopardy!,1503629361.5171342,Use to work now it doesn't,2
Amazon Customer,0,I Love the Jeopardy Skill.  I play it every single day!  My only complaint is that I wish there was more than just six clues per day.I gotta fever and the only prescription is more Alexa Jeopardy Clues!  LOL!,2017-05-08,67ba89a4-8e45-4473-b9c5-903ae099b9fb,4.0,Jeopardy!,1503629361.540292,I Love It....Just Wish I Could Play More,3
Amazon Customer,0,The concept is great but Alexa voice quality and clarity stinks.  Her clues are often difficult to understand.  Can't you IT geniuses fix something as simple as voice clarity.  Do that and I'll give J6 5 stars!Hank H,2016-12-02,832e1c3d-20f3-428b-ac6a-7f4cb1900e93,3.0,Jeopardy!,1503629361.558767,Teach Alexa how to speak clearly,3
Andrew W.,0,I like playing this game. I wish it was longer and could get new clues on the weekend. Never had a problem with speech recognition. Good attempt at a game for Alexa. A complete Jeopardy game that keeps score would be fun.,2017-01-06,f726c3b3-cd6b-482b-8fa0-4724b593e477,4.0,Jeopardy!,1503629361.5768461,A Decent Game for Echo,3
justin,0,I look forward to playing everyday! Best trivia option that Alexa has.,2017-04-28,ce132095-6cab-4660-bec1-83db0aab5415,5.0,Jeopardy!,1503629361.593758,Favorite Skill,2
A. Perrucci,0,I try to play every day. There are new questions every week day and I'm always learning new things (or being reminded lol) from this feature. It's by far my favorite due to its consistency and entertainment.,2017-06-28,580b4320-12dc-427e-89c2-68742f0781bb,5.0,Jeopardy!,1503629361.6111882,Favorite,2
Betty A. Sight,0,Love it. Fun and challenging and love hearing my ranking.,2017-01-06,afdec903-209e-43ad-90d2-08bce4659fbe,5.0,Jeopardy!,1503629361.628175,Very fun,4
Mountain Girl,0,"I haven't had any issues with this game.  It's a fun way to interact with Alexa. She will repeat a subject if you ask her to do so. If there are no current Jeopardy questions, she usually asks if you want to go back to the most recent day with available questions to answer. For instance, today (Sunday) there were none so she asked me questions available from Friday. I did try once more for new questions this afternoon but only received Friday's again (which I answered 100% correctly much to the astonishment of family members not in the room the first time around).  So, the game is limited to so many questions a day, but it's fun to play for a few minutes each time.",2016-01-17,8b1937c2-157a-4ce9-99f0-54308bb66fa4,4.0,Jeopardy!,1503629361.6464481,A Few Minutes of Fun Each Day,8
Dom,0,"It is entertaining even if only for when it tells me my correct answer is not right and then proceeds to give a totally absurd response. Today, it had bad answers for 3 or 4 of the clues.  I said &quot;what is the femur?&quot; for the clue &quot;this bone runs from hip to knee. &quot; It told me I was wrong and said the correct response was: &quot;Who is David Bowie.&quot;",2016-10-05,f40f5390-40d2-46c8-8f40-2c7e029098f9,2.0,Jeopardy!,1503629361.666278,It's mostly wrong.  Bummer!,2
Aaron D. Edwards,0,"I enjoy this game, but it's not consistent, which can be frustrating.  I often answer with only last names if it's looking for a person.  80% of the time this works, but sometimes it will say my answer is incorrect before repeating the same person I just said.  For example, ""Who is Paul?"" was deemed incorrect when it sought ""Who is Ron Paul?"".  Since it doesn't track stats this is more of an inconvenience than anything else, but it's still mildly infuriating.Proper names aside, though, I haven't had any issues.  Generally a solid skill.",2017-02-02,8d4cd0c9-9c20-4476-8bc4-77452ae0de4c,4.0,Jeopardy!,1503629367.3825989,Generally Good with Mild Frustrations,1
Betzy Morales,0,"I love playing Jeapardy! However, it sometimes marks me wrong for an answer when I gave the right answer or asked it to repeat. I speak clearly without an accent and yet it misunderstands me. Overall not too big of a deal, but I want the satisfaction of hearing that I'm right, why else would I play?",2017-06-02,e02dd44d-de00-4826-a61f-bcced0feb234,4.0,Jeopardy!,1503629367.410604,"Fun, but",2
travelgirl,0,"It's a nice ""skill,""  It seems to have a wide array of different topics..Which is good..But also it sometimes has trouble with hearing your response. For example:  the correct answer can be ""what are zebras?"" AND you say EXACTLY: ""what are zebras?""...Alexa might say: sorry the correct answer is: ""what are zebras?"" This can be frustrating.",2017-01-08,8747522b-e95b-4632-a9f0-65d02d38f444,3.0,Jeopardy!,1503629367.4343061,Challenging and fun.,5
